Time (s),Throttle (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Thrust (lbf)
0.411647,1000,0,-0.000320406,0.000174711,25.06321408,0.000429577,0.010766589,0,0,,,-0.000706495
13.4890848,1150,1001,0.053555059,0.012572875,25.05967358,0.216348259,5.421616743,1.317945035,24.30907785,40.63527468,9.878060558,0.118088904
17.7550284,1200,1689,0.157621752,0.034755794,25.05328903,0.550838385,13.80031327,6.147315131,44.54475061,25.64074694,11.42160678,0.347555962
22.0576662,1250,2252,0.293258522,0.062999223,25.04350163,1.046435094,26.20639898,14.85703682,56.6924011,19.73869526,11.19034029,0.646635042
26.3685694,1300,2880,0.513802489,0.106344274,25.025268,2.023801953,50.64618624,32.07267752,63.32693515,16.01994372,10.14493937,1.132934488
30.6664398,1350,3583,0.836998166,0.168737038,24.99380046,3.684251336,92.08344275,63.31197311,68.75500223,13.22021925,9.089562038,1.845580955
34.998689,1400,4160,1.15418895,0.228666529,24.95686307,5.461081623,136.2914663,99.61495601,73.08965024,11.58650263,8.468534247,2.544986634
39.2725072,1450,4719,1.480904006,0.291433274,24.90813398,7.866727981,195.9455146,144.0183168,73.49916489,10.28274763,7.557733634,3.265393333
43.585461,1500,5322,1.942558804,0.375003763,24.84219369,11.03094929,274.0329788,208.9965487,76.26693312,9.29469322,7.088777462,4.283342163
47.8902052,1550,5928,2.405725252,0.465756992,24.75740083,15.09145803,373.6252756,289.1320239,77.38556322,8.320507773,6.438871803,5.304624181
52.2800884,1600,6466,2.901048902,0.556409347,24.65634856,19.81870824,488.6569783,376.7547488,77.10004471,7.700099102,5.93677985,6.39681283
56.6330006,1650,7008,3.409199735,0.651462901,24.53732061,25.26264968,619.8777347,478.0930164,77.12698643,7.130829396,5.499793821,7.517285416
61.013307,1700,7457,3.939225713,0.759082958,24.39723856,31.68937904,773.1333402,592.7642489,76.67037729,6.645518384,5.095144018,8.685992698
65.409944,1750,7904,4.403577315,0.847503153,24.25138719,38.07874802,923.4624619,701.4825498,75.96221598,6.277529378,4.768550425,9.709887979
