time(s),accelX(m/s^2),accelY(m/s^2),accelZ(m/s^2),accelMagnitude(m/s^2),gyroX(deg/s),gyroY(deg/s),gyroZ(deg/s),magX(uT),magY(uT),magZ(uT),magMagnitude(uT)
0.117000,-0.077720,-0.022746,-0.055687,0.098279,-0.028382,-0.050965,0.150683,nan,-856.346680,nan,-nan
0.277000,-0.100466,-0.016760,-0.081426,0.130401,0.093690,-0.066224,-0.154498,-inf,-856.227173,-inf,inf
0.502000,-0.054375,-0.014366,-0.052694,0.077069,-0.043641,0.040589,-0.040055,nan,-856.346680,nan,-nan
0.635000,-0.066347,-0.052077,-0.083221,0.118489,0.116579,-0.005188,0.127794,nan,-856.346680,nan,-nan
0.769000,-0.059762,-0.017957,-0.099982,0.117857,0.025025,-0.020447,0.005722,nan,-856.346680,nan,-nan
0.902000,-0.047791,-0.062252,-0.073644,0.107623,-0.051270,0.040589,-0.055314,nan,-856.346680,nan,-nan
1.036000,-0.101064,-0.022147,-0.098784,0.143049,0.063172,-0.028077,-0.085832,nan,-856.346680,nan,-nan
1.169000,-0.087896,-0.055668,-0.060475,0.120340,-0.043641,0.040589,-0.108721,nan,-856.346680,nan,-nan
1.303000,-0.070537,0.001197,-0.082623,0.108643,0.017395,0.048218,0.097276,nan,-856.346680,nan,-nan
1.530000,-0.085501,-0.067640,-0.053891,0.121613,-0.043641,-0.005188,0.028611,nan,-856.346680,nan,-nan
1.663000,-0.129198,0.037112,-0.163431,0.211611,-0.028382,-0.089113,-0.017166,nan,-856.346680,nan,-nan
1.797000,-0.085501,-0.092780,-0.094594,0.157692,-0.043641,0.132143,0.043870,nan,-856.346680,nan,-nan
1.931000,-0.119620,0.060457,-0.068257,0.150410,0.162356,-0.195926,-0.032425,-inf,-856.167419,-inf,inf
2.064000,-0.089093,-0.095773,-0.062271,0.144871,-0.066529,-0.035706,0.089647,nan,-856.346680,nan,-nan
2.198000,-0.047192,0.052675,-0.093996,0.117631,0.009766,-0.073854,0.120165,nan,-856.346680,nan,-nan
2.423000,-0.044199,-0.040704,-0.077236,0.097855,-0.142824,0.086366,0.051499,nan,-856.346680,nan,-nan
